Voltage U1,Corriente IA
U1/V,IA/nA
,
0.02,0.55
0.04,0.52
0.07,0.49
0.09,0.47
0.12,0.45
0.14,0.46
0.17,0.44
0.19,0.45
0.21,0.45
0.24,0.47
0.26,0.46
0.29,0.48
0.31,0.48
0.34,0.49
0.36,0.5
0.39,0.51
0.41,0.5
0.43,0.52
0.46,0.49
0.48,0.5
0.51,0.49
0.53,0.48
0.56,0.5
0.58,0.48
0.61,0.48
0.63,0.48
0.65,0.48
0.68,0.5
0.7,0.5
0.73,0.49
0.75,0.51
0.78,0.49
0.8,0.5
0.83,0.5
0.85,0.49
0.87,0.47
0.9,0.48
0.92,0.48
0.95,0.5
0.97,0.49
1,0.48
1.02,0.48
1.05,0.49
1.07,0.49
1.09,0.48
1.12,0.46
1.14,0.47
1.17,0.45
1.19,0.46
1.22,0.44
1.24,0.43
1.26,0.44
1.29,0.46
1.31,0.44
1.34,0.46
1.36,0.46
1.39,0.46
1.41,0.46
1.44,0.45
1.46,0.43
1.48,0.44
1.51,0.41
1.53,0.43
1.56,0.42
1.58,0.43
1.61,0.42
1.63,0.44
1.66,0.43
1.68,0.47
1.7,0.44
1.73,0.45
1.75,0.47
1.78,0.48
1.8,0.46
1.83,0.47
1.85,0.45
1.88,0.48
1.9,0.48
1.92,0.46
1.95,0.45
1.97,0.45
2,0.45
2.02,0.47
2.05,0.47
2.07,0.48
2.1,0.49
2.12,0.49
2.14,0.52
2.17,0.53
2.19,0.51
2.22,0.51
2.24,0.48
2.27,0.47
2.29,0.47
2.31,0.44
2.34,0.45
2.36,0.44
2.39,0.44
2.41,0.44
2.44,0.46
2.46,0.44
2.49,0.49
2.51,0.48
2.53,0.5
2.56,0.5
2.58,0.51
2.61,0.5
2.63,0.52
2.66,0.48
2.68,0.5
2.71,0.47
2.73,0.48
2.75,0.51
2.78,0.53
2.8,0.51
2.83,0.54
2.85,0.5
2.88,0.54
2.9,0.53
2.93,0.51
2.95,0.48
2.97,0.48
3,0.43
3.02,0.47
3.05,0.43
3.07,0.45
3.1,0.43
3.12,0.45
3.15,0.47
3.17,0.51
3.19,0.49
3.22,0.53
3.24,0.5
3.27,0.52
3.29,0.52
3.32,0.53
3.34,0.5
3.36,0.51
3.39,0.48
3.41,0.5
3.44,0.48
3.46,0.48
3.49,0.46
3.51,0.47
3.54,0.47
3.56,0.48
3.58,0.46
3.61,0.5
3.63,0.49
3.66,0.5
3.68,0.5
3.71,0.48
3.73,0.49
3.76,0.5
3.78,0.48
3.8,0.48
3.83,0.47
3.85,0.46
3.88,0.48
3.9,0.47
3.93,0.47
3.95,0.49
3.98,0.49
4,0.51
4.02,0.51
4.05,0.51
4.07,0.51
4.1,0.51
4.12,0.49
4.15,0.49
4.17,0.47
4.2,0.47
4.22,0.49
4.24,0.49
4.27,0.5
4.29,0.48
4.32,0.48
4.34,0.51
4.37,0.49
4.39,0.47
4.42,0.48
4.44,0.43
4.46,0.43
4.49,0.43
4.51,0.41
4.54,0.41
4.56,0.41
4.59,0.39
4.61,0.43
4.63,0.44
4.66,0.46
4.68,0.48
4.71,0.48
4.73,0.49
4.76,0.51
4.78,0.52
4.81,0.53
4.83,0.51
4.85,0.49
4.88,0.49
4.9,0.47
4.93,0.45
4.95,0.45
4.98,0.42
5,0.45
5.03,0.44
5.05,0.44
5.07,0.5
5.1,0.52
5.12,0.51
5.15,0.53
5.17,0.48
5.2,0.5
5.22,0.49
5.25,0.46
5.27,0.46
5.29,0.47
5.32,0.45
5.34,0.48
5.37,0.47
5.39,0.48
5.42,0.48
5.44,0.47
5.47,0.47
5.49,0.49
5.51,0.48
5.54,0.49
5.56,0.49
5.59,0.49
5.61,0.5
5.64,0.49
5.66,0.48
5.68,0.49
5.71,0.48
5.73,0.48
5.76,0.48
5.78,0.47
5.81,0.51
5.83,0.5
5.86,0.51
5.88,0.51
5.9,0.49
5.93,0.48
5.95,0.49
5.98,0.46
6,0.47
6.03,0.45
6.05,0.44
6.08,0.45
6.1,0.46
6.12,0.43
6.15,0.46
6.17,0.45
6.2,0.46
6.22,0.44
6.25,0.46
6.27,0.44
6.3,0.47
6.32,0.43
6.34,0.44
6.37,0.41
6.39,0.46
6.42,0.45
6.44,0.49
6.47,0.45
6.49,0.47
6.52,0.46
6.54,0.54
6.56,0.5
6.59,0.49
6.61,0.48
6.64,0.49
6.66,0.48
6.69,0.5
6.71,0.44
6.73,0.47
6.76,0.44
6.78,0.44
6.81,0.45
6.83,0.47
6.86,0.45
6.88,0.49
6.91,0.47
6.93,0.5
6.95,0.5
6.98,0.51
7,0.51
7.03,0.51
