Ángulo del crista,Tasa con 30kV
theta/°,R(30kV)/Imp/s
,
4.5,202
5.5,167
6.5,131
7.5,96
8.5,71
9.5,52
10.5,47
11.5,47
12.5,46
13.5,46
14.5,47
