Ángulo del crista,Tasa con 30kV
theta/°,R(30kV)/Imp/s
,
4.5,362
5.5,307
6.5,242
7.5,181
8.5,135
9.5,97
10.5,90
11.5,92
12.5,90
13.5,90
14.5,103
