ﾁngulo del crista;Tasa con 35kV
theta/ｰ;R(35kV)/Imp/s
;
16.8;218
16.9;235
17;211
17.1;243
17.2;232
17.3;201
17.4;216
17.5;220
17.6;243
17.7;251
17.8;271
17.9;319
18;619
18.1;1442
18.2;738
18.3;326
18.4;267
18.5;263
18.6;270
18.7;256
18.8;247
18.9;256
19;230
19.1;246
19.2;235
19.3;232
19.4;252
19.5;245
19.6;261
19.7;263
19.8;304
19.9;298
20;351
20.1;476
20.2;1110
20.3;3754
20.4;6483
20.5;2044
20.6;453
20.7;305
20.8;274
20.9;249
21;235
21.1;233
21.2;211
21.3;242
21.4;205
21.5;208
21.6;215
21.7;212
21.8;213
