ﾁngulo del crista;Tasa con 35kV
theta/ｰ;R(35kV)/Imp/s
;
16.8;142
16.9;147
17;146
17.1;150
17.2;164
17.3;153
17.4;163
17.5;160
17.6;168
17.7;161
17.8;198
17.9;223
18;428
18.1;1053
18.2;481
18.3;216
18.4;172
18.5;156
18.6;165
18.7;164
18.8;181
18.9;163
19;155
19.1;174
19.2;156
19.3;168
19.4;160
19.5;178
19.6;189
19.7;178
19.8;199
19.9;202
20;258
20.1;298
20.2;787
20.3;2727
20.4;4271
20.5;1403
20.6;271
20.7;207
20.8;196
20.9;180
21;150
21.1;151
21.2;155
21.3;129
21.4;130
21.5;140
21.6;147
21.7;137
21.8;139
