ﾁngulo del crista;Tasa con 35kV
theta/ｰ;R(35kV)/Imp/s
;
16.8;121
16.9;110
17;137
17.1;123
17.2;142
17.3;123
17.4;136
17.5;132
17.6;124
17.7;145
17.8;136
17.9;186
18;367
18.1;865
18.2;420
18.3;179
18.4;155
18.5;140
18.6;140
18.7;148
18.8;134
18.9;131
19;127
19.1;135
19.2;132
19.3;157
19.4;125
19.5;138
19.6;139
19.7;161
19.8;169
19.9;167
20;220
20.1;242
20.2;686
20.3;2329
20.4;3612
20.5;1166
20.6;242
20.7;182
20.8;165
20.9;140
21;141
21.1;131
21.2;139
21.3;128
21.4;126
21.5;122
21.6;127
21.7;122
21.8;118
