ﾁngulo del crista;Tasa con 35kV
theta/ｰ;R(35kV)/Imp/s
;
16.8;86
16.9;96
17;100
17.1;94
17.2;88
17.3;102
17.4;124
17.5;112
17.6;107
17.7;101
17.8;111
17.9;137
18;296
18.1;718
18.2;343
18.3;147
18.4;136
18.5;122
18.6;114
18.7;116
18.8;119
18.9;104
19;117
19.1;100
19.2;103
19.3;106
19.4;118
19.5;115
19.6;119
19.7;126
19.8;124
19.9;133
20;161
20.1;189
20.2;548
20.3;1912
20.4;3006
20.5;975
20.6;206
20.7;148
20.8;120
20.9;110
21;90
21.1;91
21.2;92
21.3;102
21.4;92
21.5;93
21.6;90
21.7;97
21.8;81
