ﾁngulo del crista;Tasa con 35kV
theta/ｰ;R(35kV)/Imp/s
;
16.8;167
16.9;172
17;164
17.1;163
17.2;152
17.3;173
17.4;167
17.5;192
17.6;197
17.7;221
17.8;187
17.9;256
18;481
18.1;1186
18.2;568
18.3;231
18.4;230
18.5;213
18.6;195
18.7;195
18.8;197
18.9;196
19;193
19.1;157
19.2;185
19.3;206
19.4;194
19.5;179
19.6;195
19.7;214
19.8;215
19.9;235
20;277
20.1;366
20.2;876
20.3;3015
20.4;4940
20.5;1649
20.6;332
20.7;263
20.8;209
20.9;189
21;194
21.1;179
21.2;175
21.3;176
21.4;166
21.5;174
21.6;160
21.7;192
21.8;177
