Ángulo del crista,Tasa con 30kV
theta/°,R(30kV)/Imp/s
,
4.5,525
5.5,434
6.5,363
7.5,285
8.5,207
9.5,150
10.5,138
11.5,139
12.5,140
13.5,139
14.5,153
